Error category,Source sentence,Target sentence,Reference
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a strong lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供强大的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a secure lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供安全的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a safe lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是所有）所涉及的政策都应该为这些小企业提供安全的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a legal lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供法律生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a good lifeline to these small businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小企业提供良好的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these new businesses.","这被提交给了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该支付，为这些新企业提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these local businesses.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些当地企业提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small communities.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的政策都应该为这些小社区提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small groups.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小团体提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small companies.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小公司提供潜在的生命线。",""
W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small industries.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该支付，为这些小行业提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small organisations.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小组织提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small farmers.","这被提交给了高等法院，法官裁定，大多数（但不是全部）所涉及的政策都应该为这些小农提供潜在的生命线。",""
U; W,"This went to the High Court, where judges ruled that most, but not all of the policies involved should pay out offering a potential lifeline to these small firms.","这被送到了高等法院，法官裁定，大多数（但不是全部）所涉及的保单都应该为这些小公司提供潜在的生命线。",""
U,"Many businesses will have renewed annual policies since the first year began and these will have Covid exclusions, so claims are mostly relevant for older policies during the first UK year.","自第一年开始以来，许多企业将更新年度保单，这些保单将具有Covid排除条款，因此索赔主要与英国第一年的旧保单相关。","自第一年开始以来，许多企业将更新年度保单，这些保单将具有「Covid排除条款」，因此索赔主要与英国第一年的旧保单相关。"
U,"Many businesses will have renewed annual reports since the first year began and these will have Covid exclusions, so claims are mostly relevant for older policies during the first UK year.","自第一年开始以来，许多企业将更新年度报告，这些报告将排除在外，因此索赔主要与英国第一年的旧政策相关。","自第一年开始以来，许多企业将更新年度报告，这些报告「将【…】排除在外」，因此索赔主要与英国第一年的旧政策相关。"
N,"Many businesses will have renewed annual reviews since the first year began and these will have Covid exclusions, so claims are mostly relevant for older policies during the first UK year.","自第一年开始以来，许多企业将重新进行年度审查，这些审查将有 Covid 排除项，因此索赔主要与英国第一年的旧政策相关。",""
N,"Oliver Seadon made the move into teaching through the charity Now Teach after discussing it with friends and family members already working in the area, and after leaving his job in March.","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人讨论后，并在三月份离职后，通过慈善机构Now Teach进入了教学领域。","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人讨论后，并在三月份离职后，通过慈善机构「Now Teach」进入了教学领域。"
N,"Oliver Seadon made the transition into teaching through the charity Now Teach after discussing it with friends and family members already working in the area, and after leaving his job in March.","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人讨论后，并在三月份离职后，通过慈善机构Now Teach过渡到教学。",""
N,"Oliver Seadon made the switch into teaching through the charity Now Teach after discussing it with friends and family members already working in the area, and after leaving his job in March.","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人讨论后，并在三月份离职后，通过慈善机构Now Teach转向教学。",""
N,"Oliver Seadon made the move into teaching through the band Now Teach after discussing it with friends and family members already working in the area, and after leaving his job in March.","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人讨论后，并在三月份离职后，通过乐队Now Teach开始教学。",""
N,"Oliver Seadon made the move into teaching through the charity Now Teach after discussing it with friends and family colleagues already working in the area, and after leaving his job in March.","奥利弗·西登（Oliver Seadon）在与已经在该地区工作的朋友和家人同事讨论后，并在三月份离职后，通过慈善机构Now Teach进入教学领域。",""
N,"The NAO found that in view of potential conflicts of interest involving ministers, all had properly declared their interests and it found no evidence of their involvement in procurement decisions or contract negotiations.","NAO发现，鉴于涉及部长的潜在利益冲突，所有人都适当地宣布了他们的利益，并且没有发现他们参与采购决定或合同谈判的证据。","「NAO」发现，鉴于涉及部长的潜在利益冲突，所有人都适当地宣布了他们的利益，并且没有发现他们参与采购决定或合同谈判的证据。"
N,"The NAO found that in view of potential conflicts of interest involving ministers, all had properly declared their interests and it found no evidence of their role in procurement decisions or contract negotiations.","NAO发现，鉴于涉及部长的潜在利益冲突，所有人都适当地宣布了他们的利益，并且没有发现他们在采购决定或合同谈判中的作用的证据。",""
L,"Second-hand cars and computer games also saw price rises, but these were mostly offset by falls in the cost of energy and holidays.","二手车和电脑游戏的价格也出现了上涨，但这些价格大多被能源和度假成本的下降所抵消。","二手车和电脑游戏的价格也出现了上涨，但「这些价格【这些(价格的)上升】」大多被能源和度假成本的下降所抵消。"
L,"Second-hand cars and computer games also saw price rises, but these were quickly offset by falls in the cost of energy and holidays.","二手车和电脑游戏的价格也出现了上涨，但这些价格很快就被能源和假期成本的下降所抵消。","二手车和电脑游戏的价格也出现了上涨，但这些「价格」很快就被能源和假期成本的下降所抵消。"
L,"Second-hand cars and computer games also saw price rises, but these were mostly offset by falls in the cost of food and holidays.","二手车和电脑游戏的价格也出现了上涨，但这些价格大多被食品和假期成本的下降所抵消。","二手车和电脑游戏的价格也出现了上涨，但这些「价格」大多被食品和假期成本的下降所抵消。"
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were safety and parity with Trump's successor Joe Biden.","当NBC开始与特朗普总统安排新的市政厅时，首要任务是安全和与特朗普的继任者乔·拜登的平等。","当「NBC」开始与特朗普总统安排新的市政厅时，首要任务是安全和与特朗普的继任者乔·拜登的平等。"
N,"When Trump set out to schedule a new town hall with president Trump, the top priorities were safety and parity with Trump's successor Joe Biden.","当特朗普着手与特朗普总统安排新的市政厅时，首要任务是安全和与特朗普的继任者乔拜登平起平坐。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were stability and parity with Trump's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，首要任务是稳定和与特朗普的继任者乔拜登平起平坐。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were reconciliation and parity with Trump's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，当务之急是与特朗普的继任者乔·拜登（Joe Biden）和解与平等。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were balance and parity with Trump's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，首要任务是与特朗普的继任者乔拜登保持平衡和平等。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were safety and parity with Obama's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，首要任务是安全和与奥巴马的继任者乔拜登平起平坐。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were safety and parity with Clinton's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，首要任务是安全和与克林顿的继任者乔拜登平起平坐。",""
N,"When NBC set out to schedule a new town hall with president Trump, the top priorities were safety and parity with Romney's successor Joe Biden.","当NBC着手与特朗普总统安排新的市政厅时，首要任务是安全和与罗姆尼的继任者乔拜登平起平坐。",""
U,"British Airways is to launch a voluntary Covid-19 test for passengers flying to the UK from three US bases.","英国航空公司将对从三个美国基地飞往英国的乘客进行自愿的Covid-19测试。","英国航空公司将对从三个美国基地飞往英国的乘客进行自愿的「Covid-19」测试。"
U,"British Aerospace is to launch a voluntary Covid-19 test for passengers flying to the UK from three US bases.","英国航空航天公司将为从三个美国基地飞往英国的乘客启动一项自愿的 Covid-19 测试。",""
U,"British Airways is to launch a successful Covid-19 test for passengers flying to the UK from three US bases.","英国航空公司将为从三个美国基地飞往英国的乘客成功启动 Covid-19 测试。",""
W,"A new cross-border e-commerce marketing model, which includes internet, has taken off in Putian.","包括互联网在内的新型跨境电商营销模式在莆田起飞。","包括互联网在内的新型跨境电商营销模式在莆田「起飞【突然成功/兴起】」。"
W,"A new cross-border e-commerce marketing model, which includes online, has taken off in Putian.","一种新的跨境电子商务营销模式，包括在线，已经在莆田起飞。",""
W,"A new cross-border e-commerce marketing model, which includes advertising, has taken off in Putian.","一种新的跨境电子商务营销模式，包括广告，已经在莆田起飞。",""
W,"A new cross-border e-commerce marketing model, which includes technology, has taken off in Putian.","一种新的跨境电子商务营销模式，包括技术，已经在莆田起飞。",""
W,"More international efforts are needed to boost security capacity while developing digital China so as to help address rising challenges and economic uncertainties, according to an industry insider.","一位业内人士表示，在发展数字中国的同时，需要国际社会做出更多努力来提高安全能力，以帮助应对日益严峻的挑战和经济不确定性。","一位业内人士表示，在发展数字中国的同时，需要「国际社会做出更多努力来【更国际化的努力来】」提高安全能力，以帮助应对日益严峻的挑战和经济不确定性。"
W,"If they are positive before travelling, they will have to reschedule or cancel their flight, but will be able to rebook at a later time without a fee.","如果他们在旅行前表现良好，他们将不得不重新安排或取消航班，但可以在以后免费重新预订。","如果他们在旅行前「表现良好」，他们将不得不重新安排或取消航班，但可以在以后免费重新预订。"
W,"If they are positive before travelling, they will have to reschedule or cancel their flight, but will be able to rebook at a later time without a problem.","如果他们在旅行前表现良好，他们将不得不重新安排或取消航班，但可以在以后重新预订而不会出现问题。",""
N,"One month ago, WeWork was getting bailed out by SoftBank after a disastrous attempt at going public that resulted in the ouster of its CEO and founder Adam Neumann.","一个月前，WeWork在经历了一次灾难性的上市尝试后，被软银救助，导致其首席执行官兼创始人亚当·诺伊曼（Adam Neumann）下台。","一个月前，「WeWork」在经历了一次灾难性的上市尝试后，被软银救助，导致其首席执行官兼创始人亚当·诺伊曼（Adam Neumann）下台。"
N,"One month ago, WeWork was getting bailed out by SoftBank after a failed attempt at going public that resulted in the ouster of its CEO and founder Adam Neumann.","一个月前，WeWork在一次失败的上市尝试导致其首席执行官兼创始人亚当·诺伊曼（Adam Neumann）下台后，被软银救助。",""
W,"The Federal Communications Commission (FCC) will draft regulations intended for social media companies following a proposal filed this year by the Trump administration, the agency's website said Thursday.","美国联邦通信委员会（FCC）的网站周四表示，根据特朗普政府今年提交的提案，联邦通信委员会（FCC）将起草针对社交媒体公司的法规。","美国联邦通信委员会（FCC）的网站周四表示，「根据特朗普政府今年提交的提案」，联邦通信委员会（FCC）将起草针对社交媒体公司的法规。"
N,"Facebook and Twitter's chief executives have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和Twitter的首席执行官们在最近一次出现在美国参议院时，因处理美国大选而受到挑战。","「Facebook」和「Twitter」的首席执行官们在最近一次出现在美国参议院时，因处理美国大选而受到挑战。"
N,"Google and Twitter's chief executives have been challenged over their handling of the US election in their latest appearance before the us Senate.","谷歌和Twitter的首席执行官在美国参议院的最新露面中因处理美国大选而受到挑战。",""
N,"Facebook and Facebook's chief executives have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和Facebook的首席执行官在美国参议院的最新露面中因处理美国大选而受到挑战。",""
L; N,"Facebook and Google's chief executives have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和谷歌的首席执行官在最近一次在美国参议院露面时对美国大选的处理方式受到了挑战。","Facebook和谷歌的首席执行官在最近一次在美国参议院露面时【因/就 其】对美国大选的处理方式受到了挑战。"
N,"Facebook and Twitter's chief editors have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和Twitter的主编在美国参议院的最新露面中因处理美国大选而受到挑战。",""
N,"Facebook and Twitter's chief critics have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和Twitter的主要批评者在美国参议院的最新露面中因处理美国大选而受到挑战。",""
L; N,"Facebook and Twitter's chief contractors have been challenged over their handling of the US election in their latest appearance before the us Senate.","Facebook和Twitter的主要承包商在最近一次在美国参议院露面时对美国大选的处理方式受到了挑战。",""
